review_id,user_id,restaurant_id,rating,review_text,review_date
1,82,12,1,Review text 1,2023-02-20 20:34:58
2,91,13,5,Review text 2,2023-01-16 12:35:35
3,49,18,4,Review text 3,2023-01-05 06:18:30
4,99,6,3,Review text 4,2023-02-24 21:41:27
5,85,5,2,Review text 5,2023-01-15 00:57:34
6,23,2,4,Review text 6,2023-01-30 21:50:13
7,40,15,3,Review text 7,2023-01-18 13:03:08
8,16,5,2,Review text 8,2023-01-01 08:13:56
9,80,9,1,Review text 9,2023-02-14 12:42:53
10,64,16,5,Review text 10,2023-01-01 13:23:59
11,78,16,2,Review text 11,2023-01-22 01:21:09
12,76,16,4,Review text 12,2023-02-09 19:43:19
13,57,3,5,Review text 13,2023-02-28 06:20:21
14,1,8,5,Review text 14,2023-01-28 00:03:00
15,80,18,2,Review text 15,2023-01-05 17:59:20
16,24,5,1,Review text 16,2023-02-03 21:16:30
17,5,5,1,Review text 17,2023-02-26 03:03:13
18,78,10,3,Review text 18,2023-01-09 12:21:43
19,7,4,4,Review text 19,2023-01-18 07:20:55
20,21,10,5,Review text 20,2023-02-27 18:22:41
21,74,18,2,Review text 21,2023-02-14 05:00:50
22,96,19,3,Review text 22,2023-01-04 11:30:48
23,12,10,3,Review text 23,2023-02-05 18:49:44
24,49,3,4,Review text 24,2023-02-23 10:41:26
25,9,10,4,Review text 25,2023-01-14 01:30:51
26,16,9,3,Review text 26,2023-02-21 04:07:18
27,53,17,2,Review text 27,2023-01-21 07:07:26
28,79,2,1,Review text 28,2023-02-25 11:22:54
29,94,17,1,Review text 29,2023-02-16 23:00:59
30,93,20,3,Review text 30,2023-02-11 11:06:25
31,78,11,3,Review text 31,2023-02-21 00:15:01
32,74,20,3,Review text 32,2023-01-13 14:15:12
33,79,19,4,Review text 33,2023-02-20 11:00:08
34,94,16,4,Review text 34,2023-01-18 11:12:51
35,79,8,3,Review text 35,2023-01-19 19:01:00
36,1,4,1,Review text 36,2023-02-15 03:15:43
37,81,4,2,Review text 37,2023-02-10 06:09:46
38,53,2,3,Review text 38,2023-02-03 22:44:37
39,72,7,1,Review text 39,2023-01-20 12:48:00
40,89,10,3,Review text 40,2023-01-07 14:04:10
41,40,10,5,Review text 41,2023-02-23 09:34:40
42,42,1,1,Review text 42,2023-02-02 08:36:19
43,44,13,5,Review text 43,2023-01-03 19:50:54
44,23,7,3,Review text 44,2023-02-02 19:26:59
45,87,16,4,Review text 45,2023-01-04 10:51:24
46,83,5,4,Review text 46,2023-01-16 02:04:34
47,81,15,5,Review text 47,2023-02-02 12:51:43
48,60,14,1,Review text 48,2023-02-20 14:11:19
49,39,19,3,Review text 49,2023-02-23 21:39:23
50,69,1,2,Review text 50,2023-02-26 01:26:02
51,88,11,3,Review text 51,2023-01-07 10:17:15
52,20,9,1,Review text 52,2023-02-02 22:16:56
53,49,18,2,Review text 53,2023-02-25 10:29:01
54,78,13,2,Review text 54,2023-02-27 18:53:51
55,15,10,3,Review text 55,2023-01-04 01:41:56
56,35,14,1,Review text 56,2023-02-18 06:13:14
57,31,12,4,Review text 57,2023-01-30 09:10:33
58,28,17,3,Review text 58,2023-01-17 23:48:33
59,15,12,1,Review text 59,2023-01-20 14:55:24
60,12,15,5,Review text 60,2023-01-03 10:06:08
61,62,17,2,Review text 61,2023-01-19 11:13:31
62,44,16,5,Review text 62,2023-01-31 03:11:17
63,100,11,2,Review text 63,2023-01-10 12:56:33
64,67,5,2,Review text 64,2023-01-04 13:10:24
65,59,13,5,Review text 65,2023-01-12 05:55:02
66,1,10,1,Review text 66,2023-02-27 16:47:25
67,12,11,4,Review text 67,2023-01-05 11:30:48
68,14,17,3,Review text 68,2023-01-03 04:22:58
69,74,10,2,Review text 69,2023-02-01 03:42:19
70,26,7,3,Review text 70,2023-01-27 20:38:24
71,69,11,4,Review text 71,2023-01-12 10:08:46
72,35,5,2,Review text 72,2023-01-27 13:37:12
73,15,1,5,Review text 73,2023-02-24 08:01:21
74,66,4,2,Review text 74,2023-02-22 16:11:00
75,45,18,3,Review text 75,2023-01-27 07:35:49
76,19,10,5,Review text 76,2023-01-24 18:29:01
77,22,3,3,Review text 77,2023-02-02 21:19:07
78,70,15,1,Review text 78,2023-01-13 15:05:39
79,4,16,1,Review text 79,2023-01-11 06:49:39
80,50,2,1,Review text 80,2023-02-11 09:44:13
81,51,6,5,Review text 81,2023-02-27 13:13:19
82,81,15,5,Review text 82,2023-02-04 12:39:52
83,40,11,2,Review text 83,2023-02-21 19:06:35
84,11,15,5,Review text 84,2023-01-13 19:06:18
85,12,15,1,Review text 85,2023-02-14 05:35:17
86,40,15,4,Review text 86,2023-01-23 11:53:11
87,29,5,5,Review text 87,2023-01-26 01:18:23
88,47,13,2,Review text 88,2023-02-02 01:43:11
89,42,15,4,Review text 89,2023-01-03 22:31:13
90,9,16,1,Review text 90,2023-02-04 02:54:59
91,62,15,2,Review text 91,2023-01-28 09:42:26
92,99,12,5,Review text 92,2023-02-25 19:05:50
93,17,17,1,Review text 93,2023-02-09 09:19:00
94,92,4,3,Review text 94,2023-02-23 23:55:23
95,84,3,3,Review text 95,2023-02-21 17:23:13
96,60,13,5,Review text 96,2023-02-10 03:23:22
97,31,20,2,Review text 97,2023-02-23 04:48:49
98,21,16,4,Review text 98,2023-01-07 09:55:50
99,44,7,5,Review text 99,2023-02-11 20:38:55
100,56,19,3,Review text 100,2023-02-22 20:50:22
101,89,8,2,Review text 101,2023-01-08 13:30:25
102,95,19,4,Review text 102,2023-01-12 02:23:29
103,76,20,4,Review text 103,2023-02-01 14:11:09
104,72,4,4,Review text 104,2023-01-18 02:30:54
105,40,13,1,Review text 105,2023-02-28 02:02:41
106,14,20,4,Review text 106,2023-02-01 18:54:59
107,64,2,1,Review text 107,2023-01-22 03:04:19
108,18,19,1,Review text 108,2023-01-15 05:53:41
109,85,5,4,Review text 109,2023-02-21 13:54:56
110,38,13,5,Review text 110,2023-02-26 02:40:40
111,58,7,2,Review text 111,2023-01-31 17:43:34
112,39,19,3,Review text 112,2023-02-12 04:59:14
113,92,12,1,Review text 113,2023-02-26 13:51:08
114,2,20,5,Review text 114,2023-02-09 05:50:53
115,17,10,1,Review text 115,2023-02-05 20:21:06
116,71,2,1,Review text 116,2023-02-24 08:57:54
117,46,4,3,Review text 117,2023-01-04 00:39:56
118,31,14,5,Review text 118,2023-02-08 06:42:42
119,81,11,4,Review text 119,2023-02-09 10:07:28
120,49,14,5,Review text 120,2023-01-21 12:10:08
121,85,6,4,Review text 121,2023-01-14 12:03:14
122,25,18,4,Review text 122,2023-02-04 23:31:53
123,54,5,3,Review text 123,2023-01-13 04:33:02
124,18,1,1,Review text 124,2023-01-02 12:36:06
125,19,16,4,Review text 125,2023-01-14 04:22:49
126,11,5,4,Review text 126,2023-02-14 06:37:25
127,90,20,4,Review text 127,2023-01-18 10:57:29
128,59,17,4,Review text 128,2023-02-23 14:22:11
129,58,13,3,Review text 129,2023-01-22 22:00:52
130,24,14,5,Review text 130,2023-01-01 17:18:47
131,74,16,2,Review text 131,2023-02-18 17:06:46
132,35,14,5,Review text 132,2023-02-25 22:59:53
133,47,2,1,Review text 133,2023-02-25 03:53:04
134,62,12,1,Review text 134,2023-02-26 08:07:27
135,62,3,2,Review text 135,2023-02-21 02:37:10
136,97,9,4,Review text 136,2023-02-20 04:34:47
137,11,17,5,Review text 137,2023-01-09 14:05:41
138,32,16,1,Review text 138,2023-02-22 08:25:14
139,75,10,5,Review text 139,2023-01-06 02:58:22
140,44,18,1,Review text 140,2023-02-15 12:32:36
141,59,17,4,Review text 141,2023-02-25 17:26:09
142,94,11,4,Review text 142,2023-02-04 06:21:01
143,38,10,2,Review text 143,2023-01-04 10:18:57
144,89,20,3,Review text 144,2023-02-24 17:31:50
145,34,2,4,Review text 145,2023-02-26 03:09:58
146,22,19,1,Review text 146,2023-01-29 07:50:03
147,95,20,1,Review text 147,2023-01-28 20:19:44
148,63,3,2,Review text 148,2023-02-19 02:07:27
149,10,9,3,Review text 149,2023-01-13 20:50:15
150,79,9,3,Review text 150,2023-01-25 22:45:00
151,2,4,5,Review text 151,2023-01-17 22:52:47
152,76,5,4,Review text 152,2023-02-05 21:37:08
153,23,9,2,Review text 153,2023-02-17 01:56:31
154,24,17,1,Review text 154,2023-02-03 06:53:37
155,11,5,5,Review text 155,2023-01-15 23:11:46
156,64,14,4,Review text 156,2023-01-24 02:27:27
157,85,15,2,Review text 157,2023-01-21 11:19:54
158,74,12,1,Review text 158,2023-01-26 16:05:10
159,97,4,1,Review text 159,2023-01-17 06:32:14
160,60,13,4,Review text 160,2023-01-30 06:14:10
161,61,18,2,Review text 161,2023-02-06 20:59:59
162,88,13,4,Review text 162,2023-01-26 11:57:39
163,19,17,4,Review text 163,2023-01-02 03:38:34
164,37,15,4,Review text 164,2023-01-31 15:36:28
165,68,2,1,Review text 165,2023-02-21 14:00:11
166,82,12,4,Review text 166,2023-01-27 11:10:55
167,43,9,3,Review text 167,2023-01-10 13:00:05
168,33,19,4,Review text 168,2023-02-14 18:27:39
169,99,8,5,Review text 169,2023-01-19 22:12:35
170,67,11,2,Review text 170,2023-01-31 09:58:17
171,71,1,1,Review text 171,2023-01-07 14:20:22
172,2,14,1,Review text 172,2023-02-20 23:57:16
173,14,15,3,Review text 173,2023-01-22 07:16:37
174,93,10,3,Review text 174,2023-01-19 17:54:28
175,5,1,5,Review text 175,2023-01-09 22:14:19
176,8,20,2,Review text 176,2023-02-28 04:40:05
177,82,4,1,Review text 177,2023-01-09 09:17:41
178,78,5,4,Review text 178,2023-02-24 23:02:09
179,24,4,2,Review text 179,2023-01-25 14:18:54
180,38,15,1,Review text 180,2023-02-14 00:36:01
181,36,14,3,Review text 181,2023-01-25 23:38:15
182,21,3,3,Review text 182,2023-01-07 01:22:23
183,49,13,3,Review text 183,2023-01-06 19:56:48
184,34,9,2,Review text 184,2023-02-12 18:36:49
185,9,16,2,Review text 185,2023-02-08 02:54:16
186,23,16,1,Review text 186,2023-01-14 23:14:50
187,70,14,2,Review text 187,2023-01-11 07:34:47
188,57,9,1,Review text 188,2023-01-04 09:13:54
189,10,3,5,Review text 189,2023-01-25 07:55:54
190,100,15,1,Review text 190,2023-02-18 07:43:41
191,20,1,1,Review text 191,2023-02-07 21:53:35
192,35,5,3,Review text 192,2023-02-07 23:51:57
193,74,1,5,Review text 193,2023-02-17 15:21:57
194,62,14,4,Review text 194,2023-01-07 19:20:38
195,70,8,1,Review text 195,2023-02-07 07:46:21
196,89,16,1,Review text 196,2023-02-25 01:46:26
197,69,12,3,Review text 197,2023-01-30 09:38:26
198,52,2,1,Review text 198,2023-02-05 11:20:22
199,69,11,1,Review text 199,2023-02-14 15:02:14
200,98,10,2,Review text 200,2023-01-18 03:33:01
201,71,2,4,Review text 201,2023-01-19 13:04:10
202,39,13,1,Review text 202,2023-02-04 21:08:20
203,63,3,4,Review text 203,2023-01-19 09:29:03
204,18,2,2,Review text 204,2023-01-03 11:06:13
205,93,19,2,Review text 205,2023-02-17 11:59:40
206,50,3,5,Review text 206,2023-01-30 21:03:53
207,64,18,4,Review text 207,2023-01-02 14:15:26
208,5,11,1,Review text 208,2023-02-02 18:56:28
209,93,2,4,Review text 209,2023-01-12 11:23:45
210,28,17,4,Review text 210,2023-02-22 02:16:43
211,20,19,2,Review text 211,2023-01-07 23:51:00
212,5,5,4,Review text 212,2023-01-02 20:25:12
213,61,20,1,Review text 213,2023-01-24 13:29:28
214,90,5,1,Review text 214,2023-01-17 17:22:09
215,81,2,3,Review text 215,2023-01-10 10:42:26
216,59,20,2,Review text 216,2023-02-27 09:13:43
217,9,4,1,Review text 217,2023-02-18 06:25:41
218,77,20,2,Review text 218,2023-01-07 03:03:25
219,26,14,3,Review text 219,2023-02-09 00:44:52
220,42,4,5,Review text 220,2023-02-23 00:00:13
221,18,11,2,Review text 221,2023-01-05 10:13:27
222,76,6,3,Review text 222,2023-01-07 03:19:03
223,16,9,2,Review text 223,2023-02-10 07:22:46
224,22,12,5,Review text 224,2023-01-17 00:29:31
225,57,8,5,Review text 225,2023-01-04 22:50:07
226,18,4,5,Review text 226,2023-02-06 12:26:55
227,100,6,1,Review text 227,2023-02-17 06:42:59
228,11,1,1,Review text 228,2023-01-18 10:03:44
229,12,19,3,Review text 229,2023-02-10 09:52:05
230,89,16,2,Review text 230,2023-01-21 00:23:17
231,19,9,5,Review text 231,2023-02-13 17:33:09
232,53,8,2,Review text 232,2023-01-04 15:39:49
233,77,6,4,Review text 233,2023-01-09 13:06:15
234,81,10,3,Review text 234,2023-02-10 15:50:30
235,1,18,2,Review text 235,2023-01-19 15:09:57
236,16,17,1,Review text 236,2023-02-05 03:17:28
237,98,18,5,Review text 237,2023-01-22 06:57:01
238,60,7,3,Review text 238,2023-01-06 03:39:35
239,25,4,2,Review text 239,2023-02-16 01:27:43
240,64,6,2,Review text 240,2023-01-05 04:27:59
241,7,12,3,Review text 241,2023-01-21 08:22:46
242,56,9,3,Review text 242,2023-02-13 23:54:37
243,6,4,1,Review text 243,2023-02-22 04:08:27
244,23,6,1,Review text 244,2023-02-17 02:16:29
245,66,4,1,Review text 245,2023-01-23 20:17:18
246,93,15,5,Review text 246,2023-02-26 06:56:34
247,42,14,2,Review text 247,2023-02-01 14:54:03
248,30,4,3,Review text 248,2023-01-23 02:46:14
249,13,8,4,Review text 249,2023-01-20 09:55:51
250,49,8,1,Review text 250,2023-02-15 17:29:12
251,75,16,1,Review text 251,2023-02-12 07:38:21
252,19,7,5,Review text 252,2023-02-14 04:12:20
253,23,13,3,Review text 253,2023-01-14 05:50:44
254,59,7,3,Review text 254,2023-01-27 04:26:01
255,26,11,2,Review text 255,2023-01-04 02:47:08
256,89,19,1,Review text 256,2023-01-28 05:51:18
257,18,4,4,Review text 257,2023-02-14 12:33:58
258,54,6,3,Review text 258,2023-01-22 08:17:45
259,38,20,2,Review text 259,2023-01-17 11:58:42
260,74,18,2,Review text 260,2023-01-09 09:29:59
261,53,17,4,Review text 261,2023-01-22 00:20:52
262,76,16,4,Review text 262,2023-01-28 02:30:55
263,2,14,2,Review text 263,2023-01-25 01:29:20
264,42,14,5,Review text 264,2023-01-22 14:14:41
265,76,5,5,Review text 265,2023-01-01 11:49:53
266,54,2,1,Review text 266,2023-02-15 16:42:00
267,94,17,1,Review text 267,2023-02-11 07:56:50
268,68,13,4,Review text 268,2023-01-10 12:21:16
269,58,16,2,Review text 269,2023-01-09 01:37:02
270,72,1,4,Review text 270,2023-01-22 03:59:30
271,17,12,3,Review text 271,2023-01-24 05:03:20
272,83,3,1,Review text 272,2023-02-16 13:58:31
273,86,10,2,Review text 273,2023-02-14 14:12:23
274,74,19,1,Review text 274,2023-02-14 03:51:21
275,60,5,4,Review text 275,2023-01-18 22:57:17
276,48,15,1,Review text 276,2023-01-07 20:44:22
277,50,11,5,Review text 277,2023-01-04 04:13:46
278,38,14,3,Review text 278,2023-02-22 15:57:55
279,74,7,1,Review text 279,2023-02-02 14:13:31
280,95,2,5,Review text 280,2023-02-05 08:09:33
281,7,4,4,Review text 281,2023-02-05 11:53:18
282,60,20,1,Review text 282,2023-02-05 11:50:33
283,47,6,5,Review text 283,2023-01-07 12:08:06
284,72,7,2,Review text 284,2023-02-02 12:26:33
285,31,18,1,Review text 285,2023-02-16 10:58:14
286,95,19,2,Review text 286,2023-01-22 21:18:24
287,42,12,3,Review text 287,2023-02-18 21:23:37
288,88,14,3,Review text 288,2023-01-06 06:54:03
289,9,12,3,Review text 289,2023-02-13 22:11:35
290,63,17,5,Review text 290,2023-01-12 21:56:01
291,61,18,5,Review text 291,2023-01-29 09:01:31
292,58,20,3,Review text 292,2023-01-07 08:55:24
293,25,15,1,Review text 293,2023-01-08 18:48:38
294,51,6,3,Review text 294,2023-01-08 11:18:00
295,14,6,3,Review text 295,2023-01-11 21:02:10
296,90,5,4,Review text 296,2023-01-15 14:41:09
297,27,17,1,Review text 297,2023-01-29 11:08:03
298,54,18,2,Review text 298,2023-02-16 00:16:42
299,45,14,4,Review text 299,2023-01-03 02:03:26
300,38,7,1,Review text 300,2023-01-03 03:20:56
